body_type,car_model
hatchback,TOYOTA ALLEX
hatchback,TOYOTA AQUA
hatchback,TOYOTA AURIS
hatchback,TOYOTA BLADE
hatchback,TOYOTA COROLLA FX
hatchback,TOYOTA COROLLA II
hatchback,TOYOTA COROLLA RUNX
hatchback,TOYOTA COROLLA SPORT
hatchback,TOYOTA COROLLASPORT
hatchback,TOYOTA CORSA
hatchback,TOYOTA DUET
hatchback,TOYOTA GR YARIS
hatchback,TOYOTA IQ
hatchback,TOYOTA IQ100G
hatchback,TOYOTA IQ100X
hatchback,TOYOTA IQ130G
hatchback,TOYOTA IST
hatchback,TOYOTA PASSO
hatchback,TOYOTA STARLET
hatchback,TOYOTA TERCEL
hatchback,TOYOTA VITZ
hatchback,TOYOTA WILL CYPHA
hatchback,TOYOTA WILL VS
hatchback,TOYOTA YARIS
sedan,TOYOTA ALLION
sedan,TOYOTA ALTEZZA
sedan,TOYOTA ARISTO
sedan,TOYOTA AVALON
sedan,TOYOTA AVENSIS SEDAN
sedan,TOYOTA BELTA
sedan,TOYOTA BREVIS
sedan,TOYOTA CAMRY
sedan,TOYOTA CAMRY GRACIA SEDAN
sedan,TOYOTA CARINA
sedan,TOYOTA CAVALIER
sedan,TOYOTA CELSIOR
sedan,TOYOTA CENTURY
sedan,TOYOTA COROLLA
sedan,TOYOTA COROLLA AXIO
sedan,TOYOTA CORONA
sedan,TOYOTA CORONA PREMIO
sedan,TOYOTA CORONA SF
sedan,TOYOTA CRESTA
sedan,TOYOTA CROWN
sedan,TOYOTA CROWN HYBRID
sedan,TOYOTA MARK X
sedan,TOYOTA MIRAI
sedan,TOYOTA ORIGIN
sedan,TOYOTA PLATZ
sedan,TOYOTA PREMIO
sedan,TOYOTA PRIUS
sedan,TOYOTA PRIUS PHV
sedan,TOYOTA PROGRES
sedan,TOYOTA PRONARD
sedan,TOYOTA SAI
sedan,TOYOTA SCEPTER SEDAN
sedan,TOYOTA SPRINTER
sedan,TOYOTA SPRINTER CIELO
sedan,TOYOTA VEROSSA
sedan,TOYOTA WILL
sedan,TOYOTA WILL VI
minivans,TOYOTA ALPHARD
minivans,TOYOTA ALPHARD G
minivans,TOYOTA ALPHARD HYBRID
minivans,TOYOTA ALPHARD V
minivans,TOYOTA bB
minivans,TOYOTA BB
minivans,TOYOTA COROLLA RUMION
minivans,TOYOTA COROLLA SPACIO
minivans,TOYOTA ESQUIRE
minivans,TOYOTA ESTIMA
minivans,TOYOTA ESTIMA EMINA
minivans,TOYOTA ESTIMA HYBRID
minivans,TOYOTA ESTIMA L
minivans,TOYOTA ESTIMA LUCIDA
minivans,TOYOTA ESTIMA T
minivans,TOYOTA FUNCARGO
minivans,TOYOTA GAIA
minivans,TOYOTA GRANACE
minivans,TOYOTA GRAND HIACE
minivans,TOYOTA GRANVIA
minivans,TOYOTA HIACE
minivans,TOYOTA HIACE REGIUS ACE VAN
minivans,TOYOTA HIACE REGIUS
minivans,TOYOTA HIACE VAN
minivans,TOYOTA HIACE WAGON
minivans,TOYOTA IPSUM
minivans,TOYOTA ISIS
minivans,TOYOTA LITE ACE VAN
minivans,TOYOTA TOYOTA LITE ACE TRUCK
minivans,TOYOTA LITEACE NOAH
minivans,TOYOTA LITEACE WAGON
minivans,TOYOTA MARK X ZIO
minivans,TOYOTA MASTER ACE SURF
minivans,TOYOTA NADIA
minivans,TOYOTA NOAH
minivans,TOYOTA OPA
minivans,TOYOTA PASSO SETTE
minivans,TOYOTA PORTE
minivans,TOYOTA PRIUS ALPHA
minivans,TOYOTA RACTIS
minivans,TOYOTA RAUM
minivans,TOYOTA REGIUS
minivans,TOYOTA ROOMY
minivans,TOYOTA SIENTA
minivans,TOYOTA SPADE
minivans,TOYOTA SPARKY
minivans,TOYOTA TANK
minivans,TOYOTA TOURING HIACE
minivans,TOYOTA TOWN ACE TRUCK
minivans,TOYOTA TOWN ACE VAN
minivans,TOYOTA TOWN ACE NOAH
minivans,TOYOTA TOWNACE NOAH
minivans,TOYOTA TOWNACE WAGON
minivans,TOYOTA VELLFIRE
minivans,TOYOTA VELLFIRE HYBRID
minivans,TOYOTA VOXY
minivans,TOYOTA WISH
station_wagon,TOYOTA ALTEZZA GITA
station_wagon,TOYOTA AVEVSIS WAGON
station_wagon,TOYOTA AVENSIS WAGON
station_wagon,TOYOTA CALDINA
station_wagon,TOYOTA CAMRY GRACIA
station_wagon,TOYOTA CAMRY GRACIA STATIONWAGON
station_wagon,TOYOTA CARINA SURF
station_wagon,TOYOTA COROLLA FIELDER
station_wagon,TOYOTA COROLLA TOURING
station_wagon,TOYOTA COROLLA TOURING WAGON
station_wagon,TOYOTA COROLLA WAGON
station_wagon,TOYOTA CROWN ESTATE
station_wagon,TOYOTA CROWN STATIONWAGON
station_wagon,TOYOTA MARK2 BLIT
station_wagon,TOYOTA MARKII BLIT
station_wagon,TOYOTA MARKII QUALIS
station_wagon,TOYOTA MARKII WAGON
